session_id,Ethnicity,Race,Gender,Age,TooFast,BabyAdultBIATGood,BabyAdultBIATBad,BabyAdultExp
9376000,2,6,f,19,.0078125,.027312542738436,.409206058097308,-2
9376007,2,9,f,47,0,.55068321313409,.33402064769212,2
9376068,2,6,f,22,.171875,.256349968709668,.630678859635294,0
9376120,2,6,f,25,0,.728381185154913,.755893944473283,3
9376178,3,5,f,23,0,.272009003614663,.615944048374925,3
9376194,.,6,f,19,.046875,.093021966262812,.164778741573131,1
9376200,2,6,f,27,.015625,.617613050332164,.277785236200726,-2
9376221,2,6,f,18,0,.807772986862623,.393093055451583,0
9376236,.,3,f,20,.03125,.709845132483378, , 
9376259,2,6,f,19,0,.1665968764613,-.0621939638378233,-1
9376336,2,3,f,23,.046875,.214814530213415,.292003940773864,2
9376349,2,6,f,21,.0390625,-.114922543332305,-.0322528539607011,-2
9376369,2,6,f,23,0,.973785164848857,-.357819665560071,3
9376415,1,8,f,54,0,.897620841577753,.745734101001913,3
9376525,2,6,m,59,0,.368583702740428,.0628300422411777,0
9376586,2,6,f,25,.015625,.0622291840988937,.375969560835182,2
9376618,.,.,., ,.0078125,.262029654431493,.442828261992895,-1
9376641,2,6,f,46,0,.884666319250947,.574816045768023,3
9376642,2,6,f,60,0,.599714065614752,-.0262011264587119,0
9376664,3,6,m,46,0,.482587554659727,-.629450982207982,-2
9376679,2,6,f,19,.046875,.562221587762566,.325759423388951,2
9376690,2,6,m,77,0,.955318168210423,.353521970500881,-3
9376734,2,2,f,47,0, , , 
9376812,2,6,f,38,.0078125,-.0939014936549123,.00448856258946689,0
9376826,1,8,m,22,.09375,.40764605779872,.453275041695174,0
9376833,2,6,m,19, , , , 
9376846,1,8,f,52,0,.904952206766561,1.04911128781187,3
9376851,1,6,m,48,0,.0226357255698773,.306700538839455,0
9376870,2,6,f,19,.015625,.355197924956853,-.251240691962815,1
9376945,2,6,f,18,.09375,.154968178132235,.637726887923658,-2
9376947,2,6,f,45,0,.0129869968686047,.581872110082012,2
9376957,2,6,f,38,0,.846096114267459,.359994467848645,0
9376967,2,6,m,21,0,.299020309283105,.206867514811562,-2
9377000,2,6,f,23,.0234375,.648476612527455,.304884574055079,-3
9377035,2,3,m,30, , , , 
9377122,2,6,f,27,0, ,.0639859083213841, 
9377126,2,5,f,20,0,.979500285880113,.259023650675113,0
9377152,3,5,f,47,.015625,.87639796006752,.534102607229309,0
9377203,1,9,f,26,.1484375,.442953751483349,.330366049915308,3
9377245,2,6,f,41,.015625,.296761409516552,.576203365930557,-2
9377273,1,7,m,44,0,-.101335915669477,-.148645411331556,0
9377288,2,6,f,47,0,.179021240939835,.537601896437232,1
9377291,.,9,m,64,0,.114884893983545,.195363411868765,0
9377325,2,6,f,36,0,-.0593870946013934,.974172944162648,1
9377354,2,5,f,47,0,.607320973579883,.169927858301959,-3
9377380,3,6,f,20,.0078125,-.154750928898649,.151396768994516,1
9377402,2,6,f,26,0,.558844930740275,.484783010806736,0
9377428,2,6,m,47,0, , , 
9377434,.,.,f,28,.1484375,-.298466783250171,.434347823508679,1
9377437,2,6,f,41,0,.856892101685037,.72042894765616,-3
9377451,2,6,f,60,0,.536529236684777,-.0131953229810718,1
9377484,.,7,m,21,.1328125,.421758746973844,-.0868861885033173,0
9377506,2,6,m,72,0,.289830691853452,-.194304734183026,-2
9377524,2,3,f,18,0,.601218842921789,-.0280657354084838,-2
9377545,2,6,m,18,.109375,.547058381589031,.388191039002383,0
9377574,2,3,m,34,0,.194596229102527,.550716893473225,-3
9377582,1,9,m,23,.046875,.0137124869422006,-.426330461676643,-2
9377594,2,3,f,29,.015625,.736911442489379,.465579307295522,3
9377607,2,6,f,18,.046875,.542758342079549,.381246919168838,1
9377616,.,2,m,18,0,.784256014956376,.370080123453369,1
9377637,2,6,m,19,.796875,-.468786065493542,.579376434995127,0
9377666,2,6,m,18,.0078125,.388333968975261,.836110997882027,-3
9377673,3,9,f,24,0,-.338311247538772,-.0529189048534457,0
9377695,2,6,m,21,.015625,.722967533908576,.396098991862171,0
9377714,2,8,f,28,0,.134768742387869,-.431532655531217,1
9377729,3,6,f,55,.0078125,.144579318549452,.159440896623855,0
9377736,2,6,f,18,0,.716664850629527,.162239932506881,2
9377744,2,6,f,43,0,.751926982032793,.496389927079374,-1
9377751,2,6,f,23,0,.760060980839294,.288611048741388,0
9377765,2,5,f,26,.0078125,.92251165867116,.944585268468727,1
9377775,1,6,f,50,0,.696835520902257,.557984563616134,0
9377820,2,6,m,28,0,.117932256521485,.531905009244189,2
9377844,2,8,f,28,.0078125,.66190442049575,1.05148177616871,1
9377854,2,6,f,32,0,1.05748743458449,.823754185600457,3
9377862,2,6,m,56,.0078125,.102794233398825,.282547275313295,-1
9377864,2,6,f,56,0,1.11734056000024,-.0286292965303488,0
9377869,.,6,f,56,0,-.521504134961329,.661051723926575,-1
9377880,.,.,., ,0,.766271105787651,.285027642415824, 
9377895,2,6,f,18,0,1.11195763144937, , 
9377907,.,6,f,63,0,-.0583813629398742, , 
9377927,2,6,f,34,.015625,.158639010165444,.338547223440723,0
9377934,1,8,m,42,0,.874996447180945,.913063219292044,-2
9377966,2,6,f,20,0,.312030868050389, , 
9377973,2,5,m,23,.0078125,.660788225174183,-.278376212220086,-1
9377978,2,6,f,19,.0078125,.38944907969057,-.181384829293346,-1
9377983,2,6,m,20,.0078125,.358144228384291,-.156095778752412,2
9377998,2,6,f,54,0,-.26189579489811,.785105206384201,1
9378057,2,6,f,62,0,.826592356700463,.196068240463914,0
9378071,2,6,m,52,0,.380729935946033,.208276299225103,0
9378171,2,6,f,41,0,.332464812481925,-.439429538871939,-1
9378190,.,6,m,48,.0078125,.239589825216128,.110802056116176,3
9378191,1,6,f,31,0,.596537568325652,.398856915853863,3
9378222,2,6,m,52,0,.273773799209609,.318162782134041,-1
9378273,.,3,m,20,0,.747639038797508,.54563536165045,2
9378283,2,6,f,54,0,.841345143646249,.75787348747086,-3
9378287,2,6,f,38,0,.672834470577597,.152892518617613,3
9378317,2,6,.,46,0,.55098050031177,.922179503300794,-2
9378332,2,6,f,56,0,.435532480488153,.0623655014994779,2
9378339,2,6,m,39,0,.0395696436042685,.313544224456402,-3
9378341,3,5,f,37,0,-.197462303499194,.499473462881713,-2
9378342,2,6,f,18,0,.997480870905607, , 
9378369,2,6,f,36,0,1.29434081513563,.810330930653731,2
9378388,2,6,m,62,0,-.21194357874504,-.770469431704921,1
9378420,2,6,f,43,0,.364596601007264,-.480022438109214,2
9378427,1,8,f,42,0,.520204050249316,.715470151070101,-2
9378515,.,6,f,28,.0078125,.667817507493757,.451693212642123,1
9378531,2,6,f,18,0,.227756625678852,.831285112194462,0
9378543,2,6,f,29,.0390625,.968128978112374,.278668512541304,1
9378590,3,6,f,37,0,.783562685335352,.707581547126979,0
9378596,2,6,m,31,0,.917306160902004,.234190231632355,-3
9378656,1,8,f,18,0,.321004178911651,-.634399803771851,-1
9378676,2,6,m,32,0,.92239888736319,-.416844945765929,2
9378687,2,5,m,31,.0078125,.722501247509946,.212716638318517, 
9378691,2,6,f,22,.0234375,.785368685037688,.244822089776687,2
9378692,2,6,m,58,0,.527692210988597,.418822312249275,0
9378702,2,6,m,47,0,-.00616913056282942,.419091496707948,0
9378722,2,6,m,34,.0859375,.303241183044025,-.30750411307611,0
9378767,2,6,m,67,0,.616299242548708,.469757762770154,-2
9378774,2,6,m,63,0,-.283684942208183,.382263416627965,-3
9378780,2,6,m,18,.0234375,-.355386092614252,.479462251530167,0
9378871,3,5,m,20, , , , 
9378987,3,6,f,38,0,1.10963430310741,.451044889427352,1
9379003,2,6,f,19,.046875,.351625474562064,.374269486372993,2
9379039,2,6,f,54,0,.449668297695863,-.176160729239197,-1
9379103,2,6,m,49,0,.199894617582306,.317428287357489,2
9379104,2,6,f,55,0,.786209241545538,.502862952143874,2
9379133,2,6,m,28,0,.435028423412721,-.299561278638227,0
9379157,2,6,f,22,.046875,-.0678487576297152,.531049260461442,-3
9379159,.,.,., ,.03125,.521737961401767,.0429561136591044,1
9379171,.,.,., ,.0208333333333333, ,.582796904717511, 
9379184,2,6,m, ,0,.443142760742021,-.466927763751885, 
9379195,2,6,f,44,0,.7984107341699,.65675119147172,2
9379203,2,6,m,40,0,-.0503036763976178, , 
9379251,2,6,f,47,0, ,.716916778293057, 
9379280,2,6,f,21,.015625,.235366107733108,.958239830718262,0
9379283,.,6,f,19,.015625,.717551975986518,.799923589188319,2
9379313,2,6,f,26, , , , 
