session_id,Location,Sample,TooFast,ChristJewBIATGood,ChristJewBIATBad,ChristJewExp,ChristianNeg,ChristianPos,JewishNeg,JewishPos,ChristianCultWarmth,JewishCultWarmth,ChristJewCultPref,Age,Gender,Religion,Religiosity,PrefJewPos,PrefJewNeg,CultWarmthDifference
7435902,US,PI,0,.658540875174378,.421624566896835,1,2,4,1,5,7,6,-2,21,f,4,2,1,1,-1
7436615,US,PI,0,.701234838164832,.957680162639497,2,2,4,1,5,4,4,-1,21,f,4,2,1,1,0
7436641,US,PI,.015625,.695665056705093,.715411741724679,-1,2,2,1,3,5,3,1,19,f,76,4,1,1,-2
7437904,US,PI,0,-.150422134657357,-.965953788694974,1,2,4,2,4,6,5,-3,27,f,5,1,0,0,-1
7439697,US,PI,0,-.440136541472863,.181119539549725,-1,3,3,2,5,7,2,3,18,m,76,3,2,1,-5
7440016,US,UVA,0,.444790891643477,-.362089575087677,1,1,4,1,5,5,6,0, ,m,4,2,1,0,1
7440927,US,PI,0,.810602159082095,.288122707038985,1,1,2,1,4,7,5,-2,27,f,5,1,2,0,-2
7442222,US,PI,0,.995089933467126,.837068288934589,1,2,3,1,3,5,3,-1,27,f,4,1,0,1,-2
7445203,US,PI,0,.238967433648978,.0663021918229514,1,1,3,1,5,7,5,-1,19,f,1,2,2,0,-2
7445292,US,PI,0,-.516325058644773,-.388909761442493,0,2,5,1,4,4,3,-1,21,m,3,1,-1,1,-1
7446589,US,PI,0,.605897575278824,.687262624385496,1,1,5,1,5,7,7,-2,18,m,4,2,0,0,0
7448162,US,PI, , , ,-2,5,5,5,5,7,4,2,20,f,16,4,0,0,-3
7449705,US,PI,0,.477711420946465,-.317272851520695,0,1,3,1,4,5,4,0,21,m,4,1,1,0,-1
7450238,US,UVA,0,.256105247742138,.0864693988244388,1,2,2,1,4,5,3,-2,20,f,6,3,2,1,-2
7450320,US,UVA,0,.0209753228058018,.262284994023677,2,2,4,1,5,6,3,-2,21,f,1,3,1,1,-3
7450385,US,UVA,0,.227195588052288,-.28662122807247,1,2,4,1,4,7,5,-2,19,f,3,1,0,1,-2
7451121,US,UVA,0,.641699007618551,.969714589968063,1,2,4,1,5,6,2,-3,19,f,4,3,1,1,-4
7451244,US,UVA,.015625,.850854246564701,.686607631554945,2,1,1,1,5,7,5,-1,20,f,1,3,4,0,-2
7451357,US,UVA,0,.744967877631178,.606278037015571,2,2,3,1,4,7,5,-3,21,m,1,3,1,1,-2
7451709,US,PI,0,.702912671897364,.288414537221218,0,1,4,1,4,6,2,-2,23,m,4,2,0,0,-4
7453348,US,PI,0,.271571520126715,.456407384177623,0,1,5,1,5,6,6,-1,24,f,4,1,0,0,0
7453417,US,PI,.0078125,.41460362274551,.180552846920203,2,1,4,1,5,7,5,-1,22,m,4,3,1,0,-2
7455543,US,PI,0,.652041226771842,.0854560053083128,2,5,5,5,5,6,3,-1,24,m,5,1,0,0,-3
7456118,US,PI,.015625,.421225246916099,-.144406151533936,3,2,3,1,5,7,5,-3,18,m,1,2,2,1,-2
7456361,US,PI,.0078125,.539675106003153,.603784884072229,2,4,3,2,5,7,3,-2,27,f,4,2,2,2,-4
7458461,US,PI,0,.297703541908664,-.747645521307818,2,1,3,1,4,3,4,-2,18,f,4,2,1,0,1
7460610,US,PI,0,.305692776536967,-.394450486856628,1,2,4,1,5,7,3,-2,19,f,1,3,1,1,-4
7460688,US,PI,0,.751714183219956,-.261870710810105, , , , , , , , ,25,f, , , , , 
7464140,US,PI,0,.139837592590569,.318567217969415,0,1,4,1,4,6,6,0,24,f,4,2,0,0,0
7464373,US,PI,0,-.356408459442219,-.402915405547227,0,3,3,3,3,4,4,0,23,m,4,1,0,0,0
7465359,US,PI,0,.974423766283367,.563418318061272,0,1,1,1,4,6,3,-1,21,f,4,1,3,0,-3
