session_id,Ethnicity,Race,Gender,Age,TooFast,CelebrityBIATGood,CelebrityBIATBad,CelebrityExp
9392085,2,5,f,52,.0078125,1.0127543087664,.731549513872467,2
9392096,2,6,m,35,0,-.526073046267329,-.0716277031857732,0
9392244,2,6,f,18,0,.101309825211405,.423930114266354,2
9392458,2,6,f,18,.046875,-.233991784888905,-.134583432968475,0
9392686,2,6,f,41,0,.235083331786075,-.110627120857406,1
9392741,2,6,f,48,0,.0851631275519086,.19344626408387,0
9392885,2,6,f,25,0,.404660932857975,-.0647877201476856,-2
9392898,2,6,f,37,0, ,.26958785050609, 
9392901,1,9,f,22,.0234375,-.27937821915766,.169853514102338,0
9392932,2,6,f,33,.046875,-.667564173924379,-.0758748236778168,0
9392984,1,8,f,46,0,-.0415126386195818,.833642879734607,-2
9392997,2,6,f,40,0,.374723623585028,.0942346257935248,0
9393023,2,6,f,30,0, ,-.057810720328742, 
9393076,2,6,m,54,0,.836565247158499,.439539962169935,-1
9393190,1,6,m,19, , , , 
9393269,1,9,f,19,0,-.305519552143954,-.457518710595832,-1
9393501,2,6,f,34,0,.589515035577103,.592835428216637,0
9393513,2,6,m,52,0,.172350424490838,-.159905805587422,-1
9393525,2,4,f,46,0,.890916527893778,.317533590947765,1
9393595,2,6,f,26,0,1.02939718545948,-.0418327874508975,-2
9393603,2,5,f,21, , , , 
9393942,2,5,f,16,.0078125,.207326111005904,-.839062372872973,0
9394086,2,6,f,45,0,.725043743394353,-.242693446201423,0
9394140,2,6,f,20,0,.613426898235029,-.426701467599944,2
9394149,2,6,m,25,0,-.284878779293114,-.0057322984783918,0
9394164,2,7,f,19,.0078125,-.276669492680221,-.595051300240362,0
9394264,2,6,f,51,0,.164908254804121,.331873967166352,1
9394365,2,6,f,21,0,-.164583947134936,.0548558505243995,-2
9394455,2,6,f,44,0,.762323501809719,-.384769651912024,-1
9394590,2,6,f,45,.1875,-.292405789985422, , 
9394663,2,6,f,36,0,1.20869489008376,.652514155813072,3
9394678,2,6,m,49,0,.946205843478182,.314039387905383,0
9394709,2,6,f,29,0,.179308049897182, , 
9394710,2,6,f,37,0,.865476512387813,1.00688648997195,2
9394714,2,6,f,21,0,.64262501640934,.329323402953878,0
9394724,2,6,m,22, , , , 
9394748,2,8,f,20,.03125,1.2995168081251,.539351693169592,0
9394757,2,6,m,29,.0078125,1.13921664578589,.624434305752097,2
