session_id,TooFast,StraightGayBIATGood,StraightGayBIATBad,StraightGayExp,Age,Citizenship,Ethnicity,Race,Gender,SexualOrientation,TempGay,TempStraight,ThermDiff
2588133,.0234375,.31436755495963,-.0130585788208951,1,18,1,3,White or Caucasian,2,1,0,0,0
2588143,0,-.277579040558155,.779604772060311,1,19,42,1,Biracial,2,1,0,3,3
2588169,0,-.127733301916582,.758803879005605,0,22,1,2,Biracial,2,1,2,2,0
2588182,.0078125,-.13997436214676,.729560563644603,0,20,1,2,White or Caucasian,1,1,4,4,0
2588243,0,.654840512205134,.113893099786888,1,21,1,2,White or Caucasian,2,1,4,4,0
2588246,0,.526316420479444,.0240833618511753,3,20,1,2,Biracial,2,1,3,5,2
2588413,0,-.403834095350426,.631660467497634,2,21,1,2,South Asian,2,1,-1,3,4
2588421,0,.321924370396132,.93068740673764,0,19,1,2,White or Caucasian,2,1,5,5,0
2588478,0,-.82498135712761,.263527750808266,0,18,1,2,White or Caucasian,1,1,4,4,0
2588575,.0078125,.157720683916278,.621709180395584,1,18,1,2,White or Caucasian,2,1,-1,1,2
2588576,0,-.0563499712721609,-.50772026354628,0,18,188,2,Black or African,1,1,0,0,0
2588646,.0078125,.183051532553825,.737306481562747,0,18,1,2,Biracial,1,1,5,5,0
2588736,0,.509532631849829,1.20831389262481,0,18,1,1,Other or Unknown,1,1,3,5,2
2588986,0,-.248546715473532,-.374896686285361,2,18,1,2,White or Caucasian,2,1,5,5,0
2589036,0,.122473562320236,.393688501064119,1,22,1,1,Biracial,2,1,0,4,4
2589112,0,.529811819125725,.542118965120586,1,18,1,2,White or Caucasian,2,1,2,3,1
2589242,.8671875,-.00432761255631478,-.575307003593696,3,19,1,2,Biracial,2,1,2,4,2
2589260,.865927419354839,.132954127999238,.00433347696667136,-1,19,1,2,Biracial,2,1,-1,0,1
2589316,0,.0915117851494158,.649037470402,1,19,115,1,White or Caucasian,2,1,3,3,0
2589324,0,-.229205512139837,-.194561336663368,1,18,1,2,White or Caucasian,1,1,3,5,2
2589331,.0078125,.643996676446552,.394478185488252,3,18,188,2,East Asian,1,1,-2,4,6
2589388,0,.582652392048461,1.1312693797226,0,18,1,2,White or Caucasian,1,1,4,5,1
2589552,0,.102382508454621,.744760100207942,1,24,92,2,East Asian,2,1,1,3,2
2589562,0,.557970269029396,.3716662188505,0,18,1,.,White or Caucasian,1,1,5,5,0
2571912,0,-.443469314960611,.233875302595908,-1,20,37,2,East Asian,1,2,2,1,-1
2571952,.0078125,.0869729920732368,.420733903035658,0,19,1,.,.,1,4,0,0,0
2572015,.0078125,-.437413826672394,-.205048240538624,-1,19,1,2,White,2,2,3,3,0
2572061,.0078125,-.762329774091496,-.508469038267129,0,18,1,2,White,1,3,4,4,0
2572635,.0078125,.144153253024999,.838954647682539,0,20,1,2,White,1,5,4,4,0
2572736,0,-.116541814327744,.092035529663624,0,21,1,2,Biracial,1,4,0,0,0
2574093,.0078125,-.399827763823072,.649583528823942,-1,20,1,2,White,2,2,3,3,0
2579687,0,-.687706572435548,.971329828862333,0,19,1,2,East Asia,1,5,0,0,0
2581800,.0078125,-.232837434708596,.534897326198885,0,18,1,1,Biracial,1,5,1,1,0
2582063,0,-.119758582056724,-.00882368942508693,0,18,181,2,White,1,3,5,5,0
2582636,0,-.544453653479307,-.161868116011425,-1,19,1,2,White,2,5,3,2,-1
2583945,0,-.236048131480765,-.511872818421612,2,18,1,2,Biracial,2,2,-2,0,2
2588027,0,.41038989036726,.797981651073545,0,18,1,2,Black,1,3,5,5,0
2588310,0,.202046632469751,.183786067509768,0,18,1,1,Black,1,3,3,5,2
