session_id,ErrorPct,TooFast,Condition,ConditionNum,Age,Ethnicity,Gender,Race,WhiteAsianBIAT,WhiteHispBIAT,WhiteBlackBIAT,AsianHispBIAT,AsianBlackBIAT,HispBlackBIAT,WhiteImpAgg,HispImpAgg,AsianImpAgg,BlackImpAgg,RaceFocal,WhiteAsianExp,WhiteHispExp,WhiteBlackExp,AsianHispExp,AsianBlackExp,HispBlackExp,WhiteExpAgg,BlackExpAgg,AsianExpAgg,HispExpAgg,CondxImpWB,CondxImpWH,CondxImpWA,WhiteMinorityBIAT,WhiteMinorityExp
2537017,.015625,0,good,1,19,2,1,6,-.068305828985468,-.198045701910219,.0778391979386753,-.503721018781126,-.220993511031644,-.610428640159066,-.0628374443190038,.0304460268440929,-.218802900275767,.251194317750678,White,0,0,0,0,0,0,0,0,0,0,.0778391979386753,-.198045701910219,-.068305828985468, , 
2537018,.119791666666667,0,bad,-1,19,2,2,6,-.0789046296962347,-.0472784418607143,-.206704066745484,.286884093131703,.0386762980152289,-.740518478993928,-.110962379434144,-.326708043421639,.134821673614389,.302848749241394,White,0,0,0,0,0,0,0,0,0,0,.206704066745484,.0472784418607143,.0789046296962347, , 
2537025,.0989583333333333,0,bad,-1,18,2,1,6,1.13434193429239,.414761171045081,1.20278030914318,-.426723715199496,-.662441674995299,.399951572470189,.917294471493551,.137304705541535,-.741169108162395,-.313430068872692,White,0,0,0,0,0,0,0,0,0,0,-1.20278030914318,-.414761171045081,-1.13434193429239, , 
2537143,.09375,0,bad,-1,18,2,2,2*6,-.270711190673066,.0743313891682349,.864157865028724,-.177424804803564,.961894852093259,.425139181326802,.222592687841298,.17607753232071,.35172707932092,-.750397299482928, ,0,0,-2,0,-1,-1,-.666666666666667,1.33333333333333,-.333333333333333,-.333333333333333,-.864157865028724,-.0743313891682349,.270711190673066, , 
2537148,.0885416666666667,.0208333333333333,good,1,19,2,2,6,.209796800607455,-.504637418909993,-.460918197950411,.144015615660361,.655594265381946,.457089423695032,-.251919605417649,.272570408981554,.196604360144951,-.217255163708856,White,0,1,0,0,0,0,.333333333333333,0,0,-.333333333333333,-.460918197950411,-.504637418909993,.209796800607455, , 
2537166,.0833333333333333,.0364583333333333,good,1,18,2,1,6,-.27046253775758,.494779807402977,.348121723852735,.121048848572443,-.386739671488352,.653256504335737,.190812997832711,.0124759494534392,.00159057161389041,-.20487951890004,White,0,0,0,0,0,0,0,0,0,0,.348121723852735,.494779807402977,-.27046253775758, , 
2537206,.0416666666666667,0,good,1,20,2,1,6,-.12951699870502,.138559000176165,.387845104964335,-.309994696029721,.481509005252901,-.0535085392187274,.13229570214516,.0393090522116097,.1003437693094,-.27194852366617,White,0,1,1,-1,-1,-1,.666666666666667,-1,.666666666666667,-.333333333333333,.387845104964335,.138559000176165,-.12951699870502, , 
2537209,.0260416666666667,0,good,1,21,2,1,6,.785764548549031,-.380969954438249,.0385465784998929,-.0362293646345552,-.147487496986624,-.408601250827223,.147780390870225,.0028660227485271,-.323160470056737,.172514056437985,White,0,0,0,0,0,0,0,0,0,0,.0385465784998929,-.380969954438249,.785764548549031, , 
2537220,.192708333333333,0,bad,-1,18,2,1,6,.106662251572061,.705814636972175,.661284049282744,.277291282073083,-.0201974875117142,-.0663463286859854,.491253645942327,-.349817415910414,.0501438476631026,-.191580077695015,White,0,0,0,0,0,0,0,0,0,0,-.661284049282744,-.705814636972175,-.106662251572061, , 
2537251,.140625,0,good,1,18,2,2,6,.0760691650591797,.152410079695322,.364120959229402,-.098485209362874,-.67704752687661,-.466550342359697,.197533401327968,-.173491737564048,-.283867300432888,.259825636668968,White,0,0,0,0,0,0,0,0,0,0,.364120959229402,.152410079695322,.0760691650591797, , 
2537256,.0520833333333333,.00520833333333333,bad,-1,17,2,1,6,-.078875917457645,1.11531257624424,-.197593946443911,-.225867856729638,.41918923332091,.415614622635103,.279614237447562,-.1579433656265,.0907324313496389,-.212403303170701,White,0,0,0,0,0,0,0,0,0,0,.197593946443911,-1.11531257624424,.078875917457645, , 
